formula	expected	status
=ISERR(1/0)	non-N/A error predicate as numeric 1 or 0	supported
=ISNA(MODE(1,2))	N/A predicate as numeric 1 or 0	supported
=ISNUMBER(B1)	numeric predicate as numeric 1 or 0	supported
=ISREF(B1)	valid cell reference predicate as numeric 1 or 0	supported
=ISEMAIL("noreply@example.com")	common-format email predicate as numeric 1 or 0	supported
=ISURL("https://example.com")	common-format URL predicate as numeric 1 or 0	supported
=ISDATE("2024-02-29")	deterministic ISO/date-source predicate as numeric 1 or 0	supported
=ISBLANK(B1)	source-state blank cell predicate as numeric 1 or 0	supported
=ISFORMULA(B1)	source-state formula cell predicate as numeric 1 or 0	supported
=ISTEXT(B1)	source-state text cell predicate as numeric 1 or 0	supported
=ISNONTEXT(B1)	source-state non-text cell predicate as numeric 1 or 0	supported
=ISLOGICAL(B1)	source-state boolean cell predicate as numeric 1 or 0	supported
=TYPE(B1)	displayed value type code for numbers, text, booleans, and errors	supported
=ERROR.TYPE(1/0)	numeric code for spreadsheet error values	supported
=NA()	standard N/A error value	supported
=N(B1)	convert source value to a numeric formula value	supported
=VALUE("1,234.5")	parse a numeric string into a number	supported
=NUMBERVALUE("1.234,5",",",".")	parse locale-formatted text into a number	supported
=ISEVEN(B1)	even integer predicate with signed decimal truncation	supported
=ISODD(B1)	odd integer predicate with signed decimal truncation	supported
=COUNTA(B1:B3)	count nonblank source values including text and formula errors	supported
=AVERAGEA(B1:B3)	average aggregate with source-value text and logical coercion	supported
=MINA(B1:B3)	minimum aggregate with source-value text and logical coercion	supported
=MAXA(B1:B3)	maximum aggregate with source-value text and logical coercion	supported
=COUNTBLANK(B1:B3)	count sparse or explicit blank cells in a range	supported
=COUNTIF(B1:B3,">2")	conditional count with numeric comparison criterion	supported
=SUMIF(B1:B3,">2")	conditional sum with numeric comparison criterion	supported
=SUMIF(B1:B3,">2",C1:C3)	conditional sum with separate sum range	supported
=COUNTIF(B1:B3,"alp*")	conditional count with case-insensitive text wildcard criterion	supported
=COUNTIF(B1:B3,"a~*")	conditional count with escaped literal wildcard criterion	supported
=SUMIF(B1:B3,"alp*",C1:C3)	conditional sum using a text wildcard criterion	supported
=COUNTIFS(B1:B3,">2",C1:C3,"alp*")	multi-criteria conditional count	supported
=SUMIFS(A1:A3,B1:B3,">2",C1:C3,"alp*")	multi-criteria conditional sum	supported
=AVERAGEIF(B1:B3,">2",C1:C3)	conditional average with optional average range	supported
=AVERAGEIFS(A1:A3,B1:B3,">2",C1:C3,"alp*")	multi-criteria conditional average	supported
=MINIFS(A1:A3,B1:B3,">2",C1:C3,"alp*")	multi-criteria conditional minimum	supported
=MAXIFS(A1:A3,B1:B3,">2",C1:C3,"alp*")	multi-criteria conditional maximum	supported
=AND(TRUE(),NOT(FALSE()))	boolean logic as numeric 1 or 0	supported
=XOR(TRUE(),FALSE(),0)	odd-count exclusive-or logic over numeric truthiness	supported
=GTE(B1,B2)	comparison function as numeric 1 or 0	supported
=ISBETWEEN(B1,1,10,FALSE(),TRUE())	bounded numeric comparison with configurable inclusive endpoints	supported
=ADD(B1,B2)	operator function equivalent to plus	supported
=MINUS(B1,B2)	operator function equivalent to minus	supported
=MULTIPLY(B1,B2)	operator function equivalent to multiplication	supported
=DIVIDE(B1,B2)	operator function equivalent to division	supported
=POW(B1,B2)	operator function equivalent to exponentiation	supported
=UMINUS(B1)	unary negation operator function	supported
=UNARY_PERCENT(B1)	percent operator function	supported
=ABS(B1)	absolute value	supported
=SQRT(B1)	square root	supported
=ROUND(B1:B2)	round value with places	supported
=TRUNC(B1:B2)	truncate value toward zero with optional places	supported
=ROUNDUP(B1:B2)	round away from zero with optional places	supported
=ROUNDDOWN(B1:B2)	round toward zero with optional places	supported
=FLOOR(B1:B2)	round down to a factor multiple	supported
=FLOOR.MATH(B1:B3)	round down with sign-ignored significance and negative-number mode	supported
=FLOOR.PRECISE(B1:B2)	round down with sign-ignored significance	supported
=CEILING(B1:B2)	round up to a factor multiple	supported
=CEILING.MATH(B1:B3)	round up with sign-ignored significance and negative-number mode	supported
=CEILING.PRECISE(B1:B2)	round up with sign-ignored significance	supported
=ISO.CEILING(B1:B2)	alias for CEILING.PRECISE semantics	supported
=MROUND(B1:B2)	round to nearest factor multiple	supported
=POWER(B1:B2)	power base and exponent	supported
=MOD(B1:B2)	modulo dividend and divisor	supported
=QUOTIENT(B1:B2)	integer division without remainder	supported
=EVEN(B1)	round away from zero to an even integer	supported
=ODD(B1)	round away from zero to an odd integer	supported
=INT(B1)	floor toward negative infinity	supported
=SIGN(B1)	sign of value	supported
=LN(B1)	natural logarithm	supported
=LOG(B1)	logarithm with default base 10	supported
=LOG(B1:B2)	logarithm with explicit base	supported
=LOG10(B1)	base-10 logarithm	supported
=EXP(B1)	exponential	supported
=SIN(B1)	sine in radians	supported
=COS(B1)	cosine in radians	supported
=TAN(B1)	tangent in radians	supported
=SEC(B1)	secant in radians	supported
=CSC(B1)	cosecant in radians	supported
=COT(B1)	cotangent in radians	supported
=SINH(B1)	hyperbolic sine	supported
=COSH(B1)	hyperbolic cosine	supported
=TANH(B1)	hyperbolic tangent	supported
=SECH(B1)	hyperbolic secant	supported
=CSCH(B1)	hyperbolic cosecant	supported
=COTH(B1)	hyperbolic cotangent	supported
=ASINH(B1)	inverse hyperbolic sine	supported
=ACOSH(B1)	inverse hyperbolic cosine	supported
=ATANH(B1)	inverse hyperbolic tangent	supported
=ASIN(B1)	inverse sine in radians	supported
=ACOS(B1)	inverse cosine in radians	supported
=ATAN(B1)	inverse tangent in radians	supported
=ACOT(B1)	inverse cotangent in radians	supported
=ACOTH(B1)	inverse hyperbolic cotangent for absolute values greater than 1	supported
=ATAN2(B1:B2)	two-argument inverse tangent in radians	supported
=RADIANS(B1)	convert degrees to radians	supported
=DEGREES(B1)	convert radians to degrees	supported
=PI()	pi constant	supported
=E()	e constant	supported
=LEN("alpha")	text length as a numeric result	supported
=FIND("ph","alphabet")	case-sensitive substring position as a numeric result	supported
=SEARCH("A*T","alphabet")	case-insensitive wildcard substring position as a numeric result	supported
=EXACT("alpha","Alpha")	case-sensitive text equality as numeric 1 or 0	supported
=LEFT("alphabet",5)	left substring as a text formula result	supported
=RIGHT("alphabet",3)	right substring as a text formula result	supported
=MID("alphabet",4,3)	middle substring as a text formula result	supported
=CONCAT("alpha","beta")	two-value text concatenation formula result	supported
=CONCATENATE("alpha","-","beta")	multi-value text concatenation formula result	supported
=LOWER("AlPhA")	lowercase text formula result	supported
=UPPER("alpha")	uppercase text formula result	supported
=TRIM("  alpha   beta  ")	trimmed text formula result with collapsed whitespace	supported
=PROPER("john q. public")	Google Sheets proper-case text formula result	supported
=CLEAN("a	b")	remove non-printable ASCII control characters from text	supported
=SUBSTITUTE("alphabet","a","A")	case-sensitive text substitution formula result	supported
=SUBSTITUTE("alphabet","a","A",2)	nth occurrence text substitution formula result	supported
=REPLACE("alphabet",6,3," soup")	1-based positional text replacement formula result	supported
=REPT("ha",3)	repeated text formula result	supported
=TO_TEXT(2)	coerce formula argument to a text formula result	supported
=T("plain")	return text input unchanged and non-text input as empty text	supported
=CHAR(65)	codepoint to text formula result	supported
=UNICHAR(945)	Unicode codepoint to text formula result	supported
=CODE("alpha")	first character codepoint as numeric result	supported
=UNICODE("alpha")	first Unicode scalar value as numeric result	supported
=JOIN("-",A1:A3)	range-aware text join formula result	supported
=TEXTJOIN("-",TRUE(),A1:A3)	range-aware text join with empty-value suppression	supported
=DATE(2024,2,29)	deterministic Google-style serial date value	supported
=DATEVALUE("2024-02-29")	deterministic ISO date text to serial date value	supported
=YEAR(DATE(2024,2,29))	year extracted from serial date value	supported
=MONTH(DATE(2024,2,29))	month extracted from serial date value	supported
=DAY(DATE(2024,2,29))	day extracted from serial date value	supported
=TIME(12,0,0)	deterministic serial time fraction	supported
=TIMEVALUE("12:30:15")	deterministic time text to fractional serial time value	supported
=HOUR(TIME(25,90,90))	hour extracted from normalized serial time value	supported
=MINUTE(TIME(25,90,90))	minute extracted from normalized serial time value	supported
=SECOND(TIME(25,90,90))	second extracted from normalized serial time value	supported
=DAYS(DATE(2024,2,29),DATE(2024,2,1))	days between deterministic serial dates	supported
=DAYS360(DATE(2024,1,31),DATE(2024,2,29))	360-day calendar difference with US/NASD month-end handling	supported
=DATEDIF(DATEVALUE("2024-01-15"),DATEVALUE("2025-03-20"),"M")	whole-unit serial date difference	supported
=NETWORKDAYS(DATEVALUE("2024-02-26"),DATEVALUE("2024-03-01"))	inclusive weekday count	supported
=NETWORKDAYS(DATEVALUE("2024-02-26"),DATEVALUE("2024-03-01"),A1:A3)	inclusive weekday count with holiday range	supported
=WORKDAY(DATEVALUE("2024-02-23"),1)	weekday-only date offset	supported
=WORKDAY(DATEVALUE("2024-02-23"),1,A1:A3)	weekday-only date offset with holiday range	supported
=ISOWEEKNUM(DATEVALUE("2020-12-31"))	ISO 8601 week number from serial date value	supported
=WEEKNUM(DATE(2024,2,29),2)	week number from serial date value with configurable week start	supported
=WEEKDAY(DATE(2024,2,29))	weekday number from serial date value	supported
=EDATE(DATE(2024,2,29),1)	month-offset serial date with day clamped to target month	supported
=EOMONTH(DATE(2024,2,29),1)	end-of-month serial date after month offset	supported
=INDEX(A1:B3,2,2)	numeric value lookup by row and column inside a range	supported
=MATCH("beta",A1:A3,0)	exact text or numeric position lookup in a single row or column	supported
=HLOOKUP("alpha",A1:C2,2,FALSE())	exact horizontal lookup returning a numeric value from a later row	supported
=VLOOKUP("alpha",A1:B3,2,FALSE())	exact vertical lookup returning a numeric value from a later column	supported
=XLOOKUP("alpha",A1:A3,B1:B3)	exact lookup returning a numeric value from a parallel result range	supported
=PERCENTILE.EXC(B1:B3,0.5)	exclusive percentile interpolation	supported
=QUARTILE.EXC(B1:B3,2)	exclusive quartile interpolation	supported
=PERCENTRANK(B1:B3,B2)	percent rank for a numeric value in a range	supported
=PERCENTRANK.INC(B1:B3,B2)	inclusive percent-rank alias	supported
=PERCENTRANK.EXC(B1:B3,B2)	exclusive percent-rank alias	supported
=ROW(B2)	first row number of a reference	supported
=COLUMN(B2)	first column number of a reference	supported
=ROWS(B2:C4)	row count of a reference range	supported
=COLUMNS(B2:C4)	column count of a reference range	supported
=A1	mirrors A1	supported
=MISSING()	#NAME?	deferred
=IMPORTRANGE("url","A1")	#N/A	excluded
